Transaction_ID,Customer_ID,Transaction_DateTime,Transaction_Amount,Merchant_Category,Transaction_Type,Customer_Age,Account_Tenure,Num_Transactions_Last_24H,Location_Match,Fraud
TXN0000001,1102,2025-01-14 20:00:00,1928.96,Fuel,POS,31.0,0.0,7.0,1,No
TXN0000002,1435,2025-01-08 06:00:00,1651.05,Grocery,Online,44.0,7.0,5.0,1,No
TXN0000003,1860,2025-01-28 08:00:00,1324.14,Healthcare,POS,46.0,14.0,5.0,1,No
TXN0000004,1270,2025-01-19 08:00:00,1240.01,Healthcare,ATM,56.0,9.0,7.0,1,No
TXN0000005,1106,2025-01-06 05:00:00,1122.22,Grocery,Online,56.0,2.0,6.0,1,No
TXN0000006,1071,2025-01-29 21:00:00,1751.72,Entertainment,POS,18.0,7.0,8.0,0,No
TXN0000007,1700,2025-01-10 02:00:00,1180.07,Healthcare,ATM,34.0,11.0,9.0,1,No
TXN0000008,1020,2025-01-12 13:00:00,836.06,Fuel,POS,58.0,3.0,2.0,0,No
TXN0000009,1614,2025-01-21 04:00:00,1650.99,Electronics,POS,47.0,7.0,2.0,0,No
TXN0000010,1121,2025-01-25 18:00:00,1992.38,Entertainment,Online,30.0,10.0,1.0,1,No
TXN0000011,1466,2025-01-06 20:00:00,236.42,Grocery,POS,,0.0,7.0,1,No
TXN0000012,1214,2025-01-26 06:00:00,2378.55,Fashion,POS,36.0,2.0,4.0,1,No
TXN0000013,1330,2025-01-30 09:00:00,681.63,Entertainment,POS,36.0,5.0,9.0,1,No
TXN0000014,1458,2025-01-05 13:00:00,719.85,Travel,ATM,42.0,14.0,6.0,1,No
TXN0000015,1087,2025-01-03 03:00:00,577.56,Travel,Online,39.0,14.0,7.0,1,No
TXN0000016,1372,2025-01-26 14:00:00,1200.42,Grocery,Online,48.0,8.0,7.0,1,No
TXN0000017,1099,2025-01-26 12:00:00,560.14,Electronics,Online,34.0,1.0,8.0,1,No
TXN0000018,1871,2025-01-28 05:00:00,620.87,Fuel,POS,40.0,10.0,4.0,1,No
TXN0000019,1663,2025-01-30 16:00:00,,Fashion,Online,49.0,0.0,3.0,1,No
TXN0000020,1130,2025-01-14 06:00:00,1269.23,Travel,POS,27.0,14.0,3.0,1,No
TXN0000021,1661,2025-01-09 06:00:00,1317.43,Travel,Online,27.0,9.0,8.0,1,No
TXN0000022,1308,2025-01-02 21:00:00,1820.6,Fuel,Online,,2.0,3.0,1,No
TXN0000023,1769,2025-01-22 00:00:00,1809.07,Electronics,Online,,3.0,8.0,1,No
TXN0000024,1343,2025-01-23 11:00:00,1712.31,Healthcare,POS,69.0,10.0,2.0,1,No
TXN0000025,1491,2025-01-22 09:00:00,1069.19,Entertainment,POS,37.0,4.0,5.0,1,No
TXN0000026,1413,2025-01-01 16:00:00,279.41,Grocery,ATM,49.0,2.0,5.0,0,No
TXN0000027,1805,2025-01-14 02:00:00,268.34,Electronics,POS,67.0,12.0,7.0,1,No
TXN0000028,1385,2025-01-19 03:00:00,1708.86,Electronics,Online,31.0,9.0,5.0,1,No
TXN0000029,1191,2025-01-17 03:00:00,1621.88,Electronics,Online,67.0,10.0,9.0,1,No
TXN0000030,1955,2025-01-04 04:00:00,891.65,Electronics,ATM,45.0,1.0,3.0,1,No
TXN0000031,1276,2025-01-16 10:00:00,479.63,Healthcare,POS,63.0,1.0,9.0,1,No
TXN0000032,1160,2025-01-07 20:00:00,676.42,Fuel,Online,69.0,6.0,1.0,1,No
TXN0000033,1459,2025-01-26 08:00:00,1287.35,Fashion,POS,41.0,8.0,3.0,1,No
TXN0000034,1313,2025-01-26 16:00:00,1288.28,Entertainment,Online,32.0,9.0,4.0,1,No
TXN0000035,1021,2025-01-01 23:00:00,1721.27,Electronics,Online,39.0,1.0,6.0,0,No
TXN0000036,1252,2025-01-30 15:00:00,974.82,Entertainment,Online,47.0,6.0,8.0,1,No
TXN0000037,1747,2025-01-02 10:00:00,1077.98,,POS,21.0,6.0,7.0,1,No
TXN0000038,1856,2025-01-22 09:00:00,1762.66,Grocery,Online,30.0,10.0,8.0,1,No
